DV0,DV1,DV2,DV3,AIN0,AIN1,AIN2,AIN3,time_stamp_ms
-130,-130,0,0,301,277,277,276,1590186307416
-131,-130,0,-1,301,277,277,276,1590186309796
-132,-130,0,-1,301,277,275,275,1590186312226
-131,-129,0,-1,301,277,275,274,1590186314656
-130,-130,0,0,301,277,277,276,1590186317087
-131,-131,0,0,301,278,277,277,1590186319516
-132,-130,0,-1,301,277,275,274,1590186321946
-131,-129,0,-1,301,276,275,274,1590186324376
-130,-131,0,0,301,277,277,276,1590186326806
-131,-131,0,0,300,277,278,277,1590186329236
-132,-130,0,-1,301,277,276,275,1590186331666
-131,-129,0,-1,300,277,275,274,1590186334097
-130,-130,0,0,300,277,276,276,1590186336526
-130,-131,0,0,300,278,278,277,1590186338956
-132,-131,0,0,300,277,276,277,1590186341330
-131,-131,0,0,300,278,278,277,1590186343757
-132,-131,0,0,300,278,276,274,1590186346170
-131,-129,0,-1,300,277,275,274,1590186348596
-130,-131,0,0,300,278,277,276,1590186351026
-131,-132,0,0,300,278,278,277,1590186353456
-132,-130,0,0,300,277,276,275,1590186355886
-132,-130,0,-1,300,277,275,274,1590186358316
-132,-132,0,0,300,278,277,277,1590186360756
-132,-130,0,-1,300,277,276,275,1590186363187
-131,-129,0,-1,300,277,275,274,1590186365617
-130,-130,0,-1,300,277,276,275,1590186368047
-130,-131,0,0,300,276,275,274,1590186370486
-132,-130,0,0,300,277,278,274,1590186372860
-132,-130,0,-1,300,277,275,274,1590186375286
-132,-129,0,-1,300,277,275,274,1590186377716
-130,-130,0,-1,300,277,275,275,1590186380146
-130,-131,0,0,300,277,277,276,1590186382579
-130,-129,0,-1,300,277,275,274,1590186385017
-131,-130,0,-1,300,277,275,275,1590186387447
-130,-131,0,0,300,277,276,276,1590186389876
-130,-131,0,0,300,277,277,277,1590186392306
-132,-131,0,0,300,277,277,276,1590186394737
-132,-130,0,-1,300,277,275,274,1590186397166
-132,-129,0,-1,300,276,275,274,1590186399596
-130,-130,0,-1,300,278,277,274,1590186401970
-131,-129,0,-1,300,277,275,274,1590186404397
-130,-130,0,-1,300,276,275,275,1590186406826
-130,-131,0,0,300,278,277,276,1590186409256
-132,-132,0,0,299,278,277,277,1590186411686
-133,-131,0,-1,299,277,276,274,1590186414116
-132,-130,0,-1,299,277,275,274,1590186416546
-131,-130,0,-1,299,276,275,275,1590186418976
-131,-132,0,0,299,277,277,277,1590186421406
-132,-132,0,0,299,277,277,276,1590186423836
-133,-130,0,-1,299,277,275,274,1590186426266
-132,-130,0,-1,299,276,275,274,1590186428697
-131,-131,0,0,299,277,277,276,1590186431126
-132,-132,0,0,299,278,275,275,1590186433511
-133,-131,0,-1,299,277,275,274,1590186435936
-132,-130,0,-1,299,276,275,274,1590186438366
-131,-132,0,0,299,277,277,276,1590186440796
-132,-132,0,0,299,278,277,277,1590186443226
-133,-131,0,-1,298,277,275,274,1590186445656
-132,-130,0,-1,298,277,275,274,1590186448086
-131,-131,0,0,298,277,277,276,1590186450516
-133,-132,0,0,298,277,275,276,1590186452920
-133,-132,0,0,298,277,277,276,1590186455346
-133,-131,0,-1,298,277,275,274,1590186457776
-132,-131,0,-1,298,276,275,275,1590186460206
-131,-132,0,0,298,277,277,277,1590186462637
-131,-130,0,0,298,277,276,277,1590186465010
-132,-132,0,0,298,277,277,277,1590186467436
-133,-132,0,0,298,277,276,275,1590186469867
-133,-130,0,-1,298,277,274,274,1590186472296
-131,-131,0,-1,298,277,276,275,1590186474726
-131,-132,0,0,298,277,277,276,1590186477156
-133,-132,0,0,298,277,276,276,1590186479586
-133,-130,0,-1,298,277,275,274,1590186482016
-131,-131,0,-1,298,276,275,274,1590186484446
-131,-132,0,0,298,277,277,276,1590186486876
-132,-132,0,0,298,278,277,276,1590186489306
-133,-131,0,-1,298,277,275,274,1590186491737
-132,-130,0,-1,298,276,274,274,1590186494166
-131,-132,0,0,298,277,277,276,1590186496597
-132,-132,0,0,298,277,277,276,1590186499026
-133,-131,0,-1,298,277,275,274,1590186501456
-133,-130,0,-1,298,276,275,274,1590186503886
-132,-131,0,0,298,277,276,275,1590186506317
-132,-132,0,0,298,277,277,276,1590186508746
-133,-132,0,0,298,277,277,276,1590186511176
-133,-131,0,-1,298,277,275,274,1590186513606
-132,-130,0,-1,298,276,275,274,1590186516036
-131,-131,0,0,298,277,276,276,1590186518466
-131,-132,0,0,298,277,277,277,1590186520896
-133,-132,0,0,298,278,277,276,1590186523326
-133,-131,0,-1,298,276,275,276,1590186525720
-132,-132,0,0,298,277,277,276,1590186528146
-132,-133,0,0,298,278,277,277,1590186530576
-133,-132,0,0,298,276,275,274,1590186533016
-132,-131,0,0,298,276,276,275,1590186535446
-131,-132,0,0,298,277,277,276,1590186537876
-132,-133,0,0,298,277,277,277,1590186540306
-133,-132,0,0,298,277,276,276,1590186542736
-133,-131,0,-1,298,277,275,274,1590186545167
-133,-130,0,-1,298,276,275,274,1590186547596
-132,-131,0,-1,298,276,275,274,1590186550026
-132,-132,0,0,298,277,277,276,1590186552456
-132,-133,0,0,298,278,277,277,1590186554886
-133,-133,0,0,298,277,277,276,1590186557319
-133,-131,0,0,298,276,275,275,1590186559756
-132,-132,0,0,298,277,277,276,1590186562186
-132,-133,0,0,298,277,277,276,1590186564616
-133,-132,0,0,298,277,276,276,1590186567046
-133,-131,0,-1,298,277,275,274,1590186569476
-132,-130,0,-1,298,276,275,274,1590186571906
-132,-131,0,0,298,277,276,275,1590186574337
-132,-133,0,0,297,277,277,276,1590186576766
-133,-133,0,0,298,277,277,276,1590186579196
-133,-132,0,0,297,277,276,275,1590186581626
-133,-131,0,-1,297,277,275,274,1590186584057
-133,-131,0,-1,297,277,275,274,1590186586487
-133,-131,0,-1,297,277,276,276,1590186588910
-133,-132,0,0,297,276,277,276,1590186591280
-132,-131,0,-1,297,276,275,274,1590186593706
-132,-131,0,-1,297,276,276,275,1590186596137
-132,-132,0,0,297,277,276,276,1590186598566
-133,-132,0,0,297,277,277,276,1590186600996
-133,-133,0,0,297,277,277,276,1590186603427
-133,-133,0,0,297,277,277,276,1590186605856
-133,-134,0,0,297,277,277,276,1590186608286
-133,-133,0,0,297,278,277,277,1590186610716
-133,-133,0,0,297,276,275,274,1590186613156
-132,-131,0,-1,297,276,275,274,1590186615587
-133,-132,0,0,297,277,276,276,1590186618017
-132,-133,0,0,297,277,277,276,1590186620447
-133,-133,0,0,297,277,277,276,1590186622877
-133,-133,0,0,297,277,277,277,1590186625307
